iteration,nb_cooperators, cooperator_rate, global_welfare
0,300, 1.000000, 600
1,154, 0.513333, 308
2,136, 0.453333, 272
3,135, 0.450000, 270
4,111, 0.370000, 222
5,94, 0.313333, 188
6,68, 0.226667, 136
7,58, 0.193333, 116
8,27, 0.090000, 54
9,21, 0.070000, 42
10,16, 0.053333, 32
11,11, 0.036667, 22
12,12, 0.040000, 24
13,13, 0.043333, 26
14,10, 0.033333, 20
15,8, 0.026667, 16
16,8, 0.026667, 16
17,12, 0.040000, 24
18,5, 0.016667, 10
19,8, 0.026667, 16
20,5, 0.016667, 10
21,3, 0.010000, 6
22,4, 0.013333, 8
23,4, 0.013333, 8
24,4, 0.013333, 8
25,6, 0.020000, 12
26,6, 0.020000, 12
27,4, 0.013333, 8
28,5, 0.016667, 10
29,1, 0.003333, 2
30,2, 0.006667, 4
31,3, 0.010000, 6
32,11, 0.036667, 22
33,6, 0.020000, 12
34,2, 0.006667, 4
